,accession,tax_id,organism_name,download_url
0,GCF_000006945.2,99287,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000006945.2/download?include_annotation_type=GENOME_FASTA&filename=Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2.zip
1,GCF_000195955.2,83332,Mycobacterium tuberculosis H37Rv,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000195955.2/download?include_annotation_type=GENOME_FASTA&filename=Mycobacterium_tuberculosis_H37Rv.zip
2,GCF_000009045.1,224308,Bacillus subtilis subsp. subtilis str. 168,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000009045.1/download?include_annotation_type=GENOME_FASTA&filename=Bacillus_subtilis_subsp._subtilis_str._168.zip
3,GCF_009858895.2,2697049,Severe acute respiratory syndrome coronavirus 2,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_009858895.2/download?include_annotation_type=GENOME_FASTA&filename=Severe_acute_respiratory_syndrome_coronavirus_2.zip
4,GCF_000864885.1,227984,SARS coronavirus Tor2,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000864885.1/download?include_annotation_type=GENOME_FASTA&filename=SARS_coronavirus_Tor2.zip
5,GCF_000864765.1,11676,Human immunodeficiency virus 1,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000864765.1/download?include_annotation_type=GENOME_FASTA&filename=Human_immunodeficiency_virus_1.zip
6,GCF_000861845.1,41856,Hepatitis C virus genotype 1,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000861845.1/download?include_annotation_type=GENOME_FASTA&filename=Hepatitis_C_virus_genotype_1.zip
7,GCF_001712785.1,1544901,Hepatitis C virus genotype 7,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001712785.1/download?include_annotation_type=GENOME_FASTA&filename=Hepatitis_C_virus_genotype_7.zip
8,GCF_000871845.1,11060,dengue virus type 2,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000871845.1/download?include_annotation_type=GENOME_FASTA&filename=dengue_virus_type_2.zip
9,GCF_000882815.3,64320,Zika virus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000882815.3/download?include_annotation_type=GENOME_FASTA&filename=Zika_virus.zip
10,GCF_000854845.1,11234,Measles morbillivirus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000854845.1/download?include_annotation_type=GENOME_FASTA&filename=Measles_morbillivirus.zip
11,GCF_000901155.1,1335626,Middle East respiratory syndrome-related coronavirus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000901155.1/download?include_annotation_type=GENOME_FASTA&filename=Middle_East_respiratory_syndrome-related_coronavirus.zip
12,GCF_000861165.1,138950,Enterovirus C,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000861165.1/download?include_annotation_type=GENOME_FASTA&filename=Enterovirus_C.zip
13,GCF_000864005.1,122928,Norovirus GI,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000864005.1/download?include_annotation_type=GENOME_FASTA&filename=Norovirus_GI.zip
14,GCF_000861085.1,11082,West Nile virus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000861085.1/download?include_annotation_type=GENOME_FASTA&filename=West_Nile_virus.zip
15,GCF_000863925.1,11723,Simian immunodeficiency virus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000863925.1/download?include_annotation_type=GENOME_FASTA&filename=Simian_immunodeficiency_virus.zip
16,GCF_000836945.1,2681598,Escherichia phage T4,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000836945.1/download?include_annotation_type=GENOME_FASTA&filename=Escherichia_phage_T4.zip
17,GCF_000846805.1,129875,Human mastadenovirus A,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000846805.1/download?include_annotation_type=GENOME_FASTA&filename=Human_mastadenovirus_A.zip
18,GCF_000857325.2,3052505,Orthomarburgvirus marburgense,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000857325.2/download?include_annotation_type=GENOME_FASTA&filename=Orthomarburgvirus_marburgense.zip
19,GCF_000862145.1,11072,Japanese encephalitis virus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000862145.1/download?include_annotation_type=GENOME_FASTA&filename=Japanese_encephalitis_virus.zip
20,GCF_000880515.1,108098,Human mastadenovirus B,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000880515.1/download?include_annotation_type=GENOME_FASTA&filename=Human_mastadenovirus_B.zip
21,GCF_000857085.1,108098,Human mastadenovirus B,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000857085.1/download?include_annotation_type=GENOME_FASTA&filename=Human_mastadenovirus_B.zip
22,GCF_000888475.1,186541,Tai Forest ebolavirus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000888475.1/download?include_annotation_type=GENOME_FASTA&filename=Tai_Forest_ebolavirus.zip
23,GCF_000855585.1,186540,Sudan ebolavirus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000855585.1/download?include_annotation_type=GENOME_FASTA&filename=Sudan_ebolavirus.zip
24,GCF_000860865.1,11047,Equine arteritis virus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000860865.1/download?include_annotation_type=GENOME_FASTA&filename=Equine_arteritis_virus.zip
25,GCF_000907255.1,1321391,Rodent pegivirus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000907255.1/download?include_annotation_type=GENOME_FASTA&filename=Rodent_pegivirus.zip
26,GCF_000863565.1,11079,Murray Valley encephalitis virus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000863565.1/download?include_annotation_type=GENOME_FASTA&filename=Murray_Valley_encephalitis_virus.zip
27,GCF_000896295.1,453050,Sweet potato virus 2,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000896295.1/download?include_annotation_type=GENOME_FASTA&filename=Sweet_potato_virus_2.zip
28,GCF_000898155.1,861561,Cyrtanthus elatus virus A,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000898155.1/download?include_annotation_type=GENOME_FASTA&filename=Cyrtanthus_elatus_virus_A.zip
29,GCF_000894695.1,421010,Hippeastrum mosaic virus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000894695.1/download?include_annotation_type=GENOME_FASTA&filename=Hippeastrum_mosaic_virus.zip
30,GCF_000847425.1,3052610,Pegivirus platyrrhini,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000847425.1/download?include_annotation_type=GENOME_FASTA&filename=Pegivirus_platyrrhini.zip
31,GCF_000846145.1,10849,Escherichia phage alpha3,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000846145.1/download?include_annotation_type=GENOME_FASTA&filename=Escherichia_phage_alpha3.zip
32,GCF_000849665.1,105154,Chlamydia phage 2,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000849665.1/download?include_annotation_type=GENOME_FASTA&filename=Chlamydia_phage_2.zip
